ID;DESCRIPTION;SHORT_DESC;PRICE;IS_PRODUCT;IS_DELETE;IS_ACTIVE;CREATED_BY;UPDATED_BY;CREATED_DATE;UPDATED_DATE
1050;CAP CAY KUAH SEAFOOD;CCY KUAH SF;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1051;KANGKUNG CAH POLOS;KKUNG C PLS;20000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1052;KANGKUNG CAH AYAM;KKUNG C AYM;28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1053;KANGKUNG CAH UDANG;KKUNG C UDG;30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1054;KANGKUNG CAH CUMI;KKUNG C CUMI;31000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1055;TOGE TAHU CAH IKAN ASIN;TG THU C IKN ASN;27000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1056;TOGE CAH IKAN ASIN;TG C IKN ASN;25000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1057;AYAM KULUYUK;AYM KULUYUK;37000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1058;AYAM CAH JAMUR;AYM C JMR;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1059;SAPO TAHU AYAM;SPO THU AYM;35000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1060;SAPO TAHU SEAFOOD;SPO THU SF;37000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1061;MUN TAHU AYAM;MUN THU AYM;32000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1062;MUN TAHU UDANG;MUN THU AYM JMR;34000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1063;TAHU CAH AYAM JAMUR;THU C AYM JMR;32000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1064;UDANG KULUYUK;UDG KLUYUK;40000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1065;AYAM RICA-RICA;AYM RCA-RCA;41000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1066;AYAM GORENG MENTEGA;AYM GR MTG;41000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1067;AYAM GORENG TEPUNG;AYM GR TPG;39000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1068;AYAM NANKING;AYM NANKING;43000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1069;AYAM GORENG KERING;AYM GR KRING;41000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1070;BISTIK AYAM;BSTK AYM;40000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1071;PUYUNG HAI;PY HAI;36000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1072;UDANG GORENG MENTEGA;UDG GR MTG;44000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1073;UDANG GORENG TEPUNG;UDG GR TPG;42000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1074;CUMI GORENG TEPUNG;CM GR TPG;41000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1075;CUMI GORENG MENTEGA;CM GR MTG;43000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1076;BASO KUAH;BSO KUAH;19000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1077;BASO PANGSIT KUAH;BSO PGST KUAH;19000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1078;PANGSIT KUAH;PGST KUAH;19000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
1079;PANGSIT GORENG;PGST GR;19000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2001;MIE GORENG;MIE GR (S);27000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2002;MIE GORENG SEAFOOD;MIE GR SF (S);29000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2003;MIE GORENG UDANG;MIE GR UDG (S);29000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2004;MIE MASAK;MIE MSK (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2005;MIE MASAK SEAFOOD;MIE MSK SF (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2006;MIE CAP CAY;MIE CCY (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2007;MIE CAP CAY SEAFOOD;MIE CCY SF (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2008;IFU MIE;IFU MIE (S);29000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2009;IFU MIE SEAFOOD;IFU MIE SF (S);31000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2010;BIHUN GORENG;BHN GR (S);27000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2011;BIHUN GORENG SEAFOOD;BHN GR SF (S);29000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2012;BIHUN GORENG UDANG;BHN GR UDG (S);29000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2013;BIHUN MASAK;BHN MSK (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2014;BIHUN MASAK SEAFOOD;BHN MSK SF (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2015;BIHUN CAP CAY;BHN CCY (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2016;BIHUN CAP CAY SEAFOOD;BHN CCY SF (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2017;KWETIAU GORENG;KWTIAU GR (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2018;KWETIAU GORENG SEAFOOD;KWTIAU GR SF (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2019;KWETIAU GORENG UDANG;KWTIAU GR UDG (S);28000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
2020;KWETIAU MASAK;KWTIAU MSK (S);30000;Y;N;Y;System;System;19/03/2015 17:55;19/03/2015 17:55
